source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,1,1+10,Sangerfield,1 October 1930,to take effect 1 Jan. 1931,1 Sangerfield,C.R.S.
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,2,4+6,Hickland,24 March 1931,to take effect 13 June 1931,4 Hickland,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,3,3,"Hickland, Whitetown, New Hartford",,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,4,4,Hickland,,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,5,3d,New Hartford,Laid out 15 Je 1931,,"1 Hickland, New Hartford, Whitetown",
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,6,1,New Hartford,,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,7,2,Westmoreland,,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,8,"7,13",Marshall,Meeting held 30 Je 1931,,"Marshall, Westmoreland",
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,9,9,Vernon,,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,10,11,Paris,Designation of dist 10 Je 1931,,Vernon + Paris,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,11,15,"Melville, Hickland, Vernon",,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,12,16,"Westmoreland, Hickland",,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,13,"5,8,10,14",Hickland,,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,14,1,Whitetown,Laid out 13 Je 1931,,1 Whitetown,CRS
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,15,7,Whitetown + Rome,Meeting held 25 Je 31,,"Rome, Mary + Floyd",
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,16,"10,11",Whitetown + Rome,Designation of dist 15 Aug 31,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,17,3,Mary + Floyd,,,Floyd,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,18,"2,3,4,8",Marshall,18 July 1932 to take effect,,Sangerfield,CRS
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,19,1,Sangerfield,20 July 1932,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,20,6+13,Steuken,6 June 1932 to take effect 6 Sept 32,,13 Steuken,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,21,6,Marshall,,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,22,1,Sangerfield,17 May 1932,1 Sept 32,1 Sangerfield,CRS
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,23,1,Rome + Trenton,,,,
District-Consolidation-Data_100-116.pdf,110,County,central_rural_schools,24,"2,4,5,6",Rome + Trenton,Laid out 26 May 1933,,"1 Rome, Trenton",CRS
