source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,1,1,Cherry Creek,,,1,CRS Cherry Creek
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,2,9,"Aurora, Leon (Catt Co) + Cherry Creek + Villanova",,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,3,4,"Cherry Creek, Villanova + Charlotte",,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,4,5,Cherry Creek + Charlotte,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,5,8,Cherry Creek + Ellington,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,6,10,Cherry Creek + Villanova,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,7,"1,7,3,5,8,10",Villanova + Cherry Creek,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,8,"5,6",Dayton (Catt Co),,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,9,1,"Ellington, Cherry Creek",,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,10,9,Ellington (Chaut Co) Canevage (Catt Co),,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,11,6,Leon (Catt Co),,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,12,2,Leon + Canevage (Catt Co),,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,13,5,Leon + New Albion (Catt Co),,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,14,9,Leon + Dayton (Catt Co),,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,15,1,Aikenright + Villanova,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,16,6,Elliott,,,1,CRS Elliott
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,17,2,Ellington,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,18,"4,10",Elliott,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,19,"1,5",Elliott + Gerry,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,20,7,"Elliott, Carroll + Poland",,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,21,"7,10,11",Ellington,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,22,6,Ellington + Gerry,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,23,"5,6","Ellington, Gerry + Poland",,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,24,1,Poland + Carroll,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,25,"9,10",Poland + Ellington,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,26,8,Poland + Elliott,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,27,1,Westfield,,,1,CRS Westfield
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,28,"3,4,5,6,7,9,10,11,13",Westfield,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,29,3,Portland,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,30,1,Burtis,,,1,CRS Burtis
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,31,3,Elliott,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,32,"2,3,4,5,6,8,9,10,11,12",Burtis,,,,
District-Consolidation-Data_100-116.pdf,19,Chautauqua,central_rural_schools,33,3,Elliott,,,,
