source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,1,598,Fenton,6 July 1915,"5- 14,300 Cond 6- 22,370 1k",5 Fenton,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,2,20+27,Colesville,1 September 1914,Consol. appealed 4 dist. reestablished 31 Ag. 1915,20 Colesville,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,3,18+19,Sanford,10 October 1914,".18- 20,984 1k 19- 14,879 1k",19 Sanford,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,4,17+19,Sanford,19 September 1915,"17- 12,210 1k to take effect 28 Sept",17 Sanford,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,5,5,Dickinson & Kirkwood,30 October 1915,"5- 7,250 Cond 8- 38,278 1k",8 Kirkwood,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,6,8,Kirkwood,,"1D. 399,510 2k",,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,7,1,Dickinson & Fenton,2 February 1917,"17- 182,177 1k",1 Dickinson & Fenton,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,8,1,Fenton,,"New papers rec'd 1- 170,083 consol. 14- 2 Ag. 3, 1918 2- 100,562 1k",,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,9,"1,2+8",Conklin,17 August 1917,"3- 28,691 1k",1 Conklin,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,10,3+31,Colesville,1 September 1919,"31- 9,850 Cond",3 Colesville,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,11,19,Maine,28 August 1919,"1- 101,929 2k 7- 31,795 Cond",1 Maine,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,12,,"Part of 8 Newark Valley & 7 Newark Valley, Tioga Co.",,"Par-ald 7 New V, 12.3.19 6.19 11 1 Maine 181.43 4k 107.30",Newark Valley,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,13,,"Part of 15 Richford & 7 Lisle, Broome Co.",,to take effect 20 Ag. 50.26 12.3.19 12.3.19 19.10,Maine,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,14,,"Part of 15 Richford & 11 Richford, Tioga Co.",,Par-ald 7 Lisle 50.27 12.3.19 19.10,7 Lisle,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,15,,Part of 15 Richford & 8 Berkshire,,11 1 Berkshire 67.47 19.10,"11 Richford, Tioga Co.",
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,16,6,Lisle & Richford,13 July 1920,to take effect 1 Ag. 1920,8 Berkshire,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,17,9,Lisle,29 April 1921,"6- 18,025 Cond 9- 74,381 1k",9 Lisle,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,18,1+3,Union (1 in a Vill),3 August 1923,"1- 205,250 5d. 1k 4 Cond. Reg. Extra 7- 61.46 17.27 1- 47.32 17.35 1- 58.22 14.38",1 Union,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,19,,Part of 12 Richford & 7 Lisle,,to take effect 1 Ag. 1924,7 Lisle,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,20,,Part of 12 Richford & 11 Richford,,May 1924,11 Richford,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,21,,Windsor,,C.R. laid out 11 J. 1931. Meeting held 30 J. 1931. Designation of dist. on 7 J. 1931,Windsor,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,22,,Colesville + Windsor,,,Colesville,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,23,,Windsor + Colesville,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,24,,"Colesville, Fenton, Broome",,C.R.S. laid out 27 May 1932. Meeting held 14 June 1932. Designation of district 21 June 1932,"Colesville, Fenton",
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,25,,Sanford + Windsor,,,Sanford + Windsor,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,26,,"County, Afton + Colesville",,,(Broome Co.) and,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,27,,Afton + Colesville,,,"Oswego, Afton, Coventry",
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,28,,County + Colesville,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,29,10,"Triangle, Barker, Lisle",,"C.R.S. laid out 19 November, 1934. Meeting held 14 December 1934. Designation of district 27 December, 1934",C.R.S.,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,30,,Lisle,,,"1 Triangle, Lisle,",
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,31,4,Barker & Nanticoke,,,"Barker, Chenango,",
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,32,,Barker,,,"Nanticoke & Maine,",
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,33,,"Chenango, Barker, Maine",,,"Broome Co., Marathon",
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,34,,Chenango & Barker,,,"Willet, Cortland Co.",
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,35,4+5,Lisle,,,Greene & Smithville,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,36,"1,3+4",Nanticoke,,,Chenango Co.,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,37,2,"Nanticoke, Barker, Maine",,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,38,5,Nanticoke & Maine,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,39,6,Nanticoke & Barker,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,40,7,Nanticoke & Lisle,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,41,"2,5,7,11",Triangle,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,42,,"Triangle, Marathon, Willett",,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,43,,Triangle & Greene,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,44,,Triangle & Lisle,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,45,,Triangle & Willett,,,,
District-Consolidation-Data_100-116.pdf,3,Broome,consolidated_districts,46,,"Triangle, Willett, Smithville, Greene",,,,
