source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,49,Dutchess,central_rural_schools,1,"UFS#2
1,3,4,6,7,89","Albion
Albion + Union Vale
Albion","Effective date Dec 31, 1946",,2,Albion
District-Consolidation-Data_100-116.pdf,49,Dutchess,central_rural_schools,2,"CRS
U.H.S.dit
C.S.dit","5. Pawling
1,3,6,8,9 Pawling
2 Pawling, Buchanan (East Fishkill)
4 Pawling & Tottenville (Cudde)
7 Pawling, East Fishkill & Tottenville (Cudde)
10 Albion, Pawling & Buchanan","Laid out June 5, 1950
Meeting held June 27, 1950",,,"CRS
Pawling, Albion
East Fishkill, Buchanan
Addition 6 & 7 (Tottenville, Cudde)"
District-Consolidation-Data_100-116.pdf,49,Dutchess,central_rural_schools,3,C.S. 8,North East,"Cons with 6 North East, U.F.S.","Aug 7, 1952",6 North East,
District-Consolidation-Data_100-116.pdf,49,Dutchess,central_rural_schools,4,C.S. 7,"""",""" 6 "" "" U.F.S.","Feb 11, 1951","6 "" """,
District-Consolidation-Data_100-116.pdf,49,Dutchess,central_rural_schools,5,C.S. 2,Amenia,""" U.F.S 2 Dover","June 30, 1953",2 Dover,
