source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,1,"7,9,10",Oyster Bay,7 December 1916,"7-1193700, 9-2922993, 10-1531960",9,No. new dist. 9=old 16 Oyster Bay
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,2,"16,17",Hempstead,Papers filed with appeal,16-17,c.H.S.,c.H.S.
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,3,22,Hempstead,Hempstead & No. H established into C.H.S.,1 Jan 1926,2,Hempstead & No. Hempstead
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,4,5,No Hempstead,1st Formation of C.H.S. 3 Aug 1926,Nov 1926,,
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,5,"13,24,30",Hempstead,2d Formation of C.H.S. 5 May 1925,Oct 21 1925,,includes also Valley Stream Central School
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,6,16,Oyster Bay & No. Hempstead,Consol. 3 Nov 1930 to take effect 16 Feb 1931,,,15 Oyster Bay & 13 No. Hempstead
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,7,15,Oyster Bay,"7-54, 13, 4, 57, 7, 8, 13, 37, 87 to take effect 20 Jul 1932",,,15 Oyster Bay
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,8,7,No Hempstead,7 Nov 1930,,,7 No Hempstead
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,9,"U.F.S. 4,7,25,29",Hempstead,"Meeting held 25 Sept 1934. Formation of C.H.S. 1 Mar 1934. Designation of dist. as Central High School District No. 3 of the Town of Hempstead, Nassau Co. 1 Mar 1934.",,3,Hempstead
District-Consolidation-Data_100-116.pdf,104,Nassau,consolidated_districts,10,19,Oyster Bay,"Effective date June 6, 1950",,19,Oyster Bay
