source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,1,2+6,Stanford,28 September 1914,"2 181,939 2wo 6 41,134 1k 12-14",2 Stanford,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,2,1+2,Dover,5 July 1921,"1 143,981 1k 2 327,418 6 wo Acad",2 Dover,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,3,2+10,Stanford,15 March 1922,"2- See above 10- 192,000 1k (142-21) to take effect 30 March",2 Stanford,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,4,5+7,Stanford,19 May 1927,"5- 40,640 Cad 7- 85,221 1k 3- 449,719 3k",7 Stanford,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,5,3+5,Fishkill,4 January 1928,to take effect 1 Ag.1928,3 Fishkill,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,6,3+6,Pleasant Valley,27 July 1928,"3- 431,259 - 2wo 6- 32,6601- 2wo",3 Pleasant Valley,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,7,10,Clinton,20 July 1929,"10- 144,623 - 1k",2 Hyde Park,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,8,2,Hyde Park,1 August 1929,"2- 133,5083- aced",1 Clinton,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,9,8,Stanford,1 October 1929,"8- 30,160 - cnt 1- 87,645- 1k",1 Hyde Park,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,10,1,Clinton,1 October 1929,"3- 55,400- cnt 1- 152,9364- aced",1 Hyde Park,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,11,3+1,Hyde Park,1 October 1929,,1 Hyde Park,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,12,7+8,Poughkeepsie,14 May 1930,to take effect 15 Ag. 9'30,7 Poughkeepsie,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,13,3+7+3,Clemons Valley,14 May 1930,to take effect 15 Ag. 9'30,"1 Pine Plains, Milan",
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,14,1+4,Pine Plains,,Laid out 2 Je 1931. Meeting held 26 Je 1931 Designation of dist 16 Jl 1931,"Stanford + no. East (Dutchess co) + Bellatin, Averam, Livingston + Clermont (Col. co)",
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,15,2,Milan,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,16,3,Stanford,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,17,5,(Dut. co) Ballatin + Averam (Col. co),,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,18,6,(Col. co),,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,19,2,Milan,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,20,1,Pine Plains,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,21,3,Pine Plains,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,22,5,Stanford,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,23,10,Pine Plains + Stanford,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,24,13,East + Pine Plains,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,25,"5,6,7",Averam (Col. co),,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,26,8,Pine Plains (Dut. co),,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,27,"2,3","Ballatin ("" )",,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,28,10,"Livingston, Clermont + Ballatin (Col. co)",,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,29,7,"Poughkeepsie, Pleasant Valley, Hyde Park + La Grange",13 May 1936 to take effect 15 Aug. 1936,,7 Poughkeepsie,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,30,4,Pleasant Valley,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,31,"1,4,5,6,8,9",Red Hook,,Laid out 6 Oct. 1937 Meeting held 26 Oct. 1937 Designation of dist. 1 Nov. 1937,"C.R.S. 1 Red Hook, Milan + Rhinebeck, Dutchess + Clermont, Columbia",
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,32,4+8,Milan,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,33,9,Milan + Red Hook,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,34,7,"Milan, Red Hook + Rhinebeck",,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,35,2,Clermont + Red Hook,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,36,1,Hyde Park,,C.R.S. Laid out 21 Aug. 1938 Meeting held 16 Sept 1938 Designation of dist. 11 Oct. 1938,"C.R.S. 1 Hyde Park, Poughkeepsie, Clinton + Pleasant Valley",
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,37,4,"Hyde Park, Clinton + Pleasant Valley",,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,38,3,Clinton + Hyde Park,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,39,4,Clinton + Pleasant Valley,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,40,8,"Pleasant Valley, Hyde Park + Clinton",,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,41,9,Pleasant Valley + Clinton,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,42,6,Poughkeepsie,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,43,3,Poughkeepsie + Hyde Park,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,44,2,Wappinger,,C.R.S. Laid out 1 Sept 1938 Meeting held 19 Sept 1938 Designation of dist. 20 Sept 1938,"C.R.S. 1 Wappinger, Poughkeepsie, Fishkill, East Fishkill + La Grange, Dutchess + Kent + Philipstown, Putnam Co.",
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,45,4,Poughkeepsie + Wappinger,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,46,6,Fishkill,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,47,"1,2,5,6",Wappinger,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,48,1,"Wappinger, Fishkill or Fishkill",,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,49,"10,5",Poughkeepsie,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,50,9,"Poughkeepsie, La Grange + Wappinger",,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,51,"4,10",East Fishkill + Fishkill,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,52,7,East Fishkill + Wappinger,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,53,11,"East Fishkill, Kent + Philipstown",,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,54,10,Washington + Dover,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,55,2,"Dover, Washington",31 May 1939 to take effect 31 Aug. 1939,,2 Dover,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,56,5,Hyde Park + Pleasant Valley,22 April 1941 to take effect 22 July 1941,,C.R.S. 1 Hyde Park,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,57,1,Hyde Park,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,58,5,Rhinebeck,,Laid out 11 June 1941 Meeting held 27 June 1941 Designation of dist 15 Sept 1941,C.R.S. 1 Rhinebeck,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,59,"1,2,7,11,12",Rhinebeck,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,60,3+4,Rhinebeck + Red Hook,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,61,4,Rhinebeck + Hyde Park,,,,
District-Consolidation-Data_100-116.pdf,48,Dutchess,consolidated_districts,62,10,Rhinebeck + Clinton,,,,
