source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,1,"6,7,8,9",Van Etten,14 July 1914,"6-13,725 15 7-8,950 15 9-12,325 15",9,Van Etten
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,2,"14,8",Van Etten,1 August 1919,"1-318,487 15 Acad. 8-14,020 Cont",1,Van Etten
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,3,"14,4",Van Etten,15 June 1920,"1- see above 4-63,510 15 1-289,857 Acad 3-17,591 Cont",1,Van Etten
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,4,"14,3",Ashland,28 August 1925,24-25,1,Ashland
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,5,,Van Etten & Spencer,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,6,,Van Etten,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,7,,Van Etten & Baldwin,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,8,,Van Etten & Erin,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,9,,Van Etten & Newfield,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,10,,Van Etten & Spencer,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,11,,"Baldwin, Erin & Chemung",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,12,,"Barton, Baldwin & Chemung",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,13,,Barton & Van Etten,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,14,,"Newfield, Van Etten & Cayuta",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,15,,Catlin,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,16,,Catlin & Big Slate,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,17,,Horseheads & Big Slate,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,18,,Horseheads & Elmira,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,19,,Horseheads,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,20,,Horseheads & Erin,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,21,,Big Slate,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,22,,Horseheads,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,23,,"Horseheads, Big Slate & Vistron",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,24,,"Horseheads, Big Slate",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,25,,"1,2,4,9,10,13,14 Vistron",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,26,,Vistron & Erin & Cayuta (page 6),,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,27,,"Vistron, Erin & Horseheads",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,28,,Vistron & Horseheads,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,29,,"8,12 Vistron & Catlin (Chemung)",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,30,,"1,3,15 Erin",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,31,,5 Erin & Baldwin,,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,32,,"7 Erin, Horseheads & Vistron",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,33,,"9,11 Catlin",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,34,,"4,8,10 Catlin & Big Slate",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,35,,"5 Catlin, Big Slate & Horseheads",,,,
District-Consolidation-Data_100-116.pdf,22,Chemung,unknown,36,,"4 Cayuta (page 6), Erin & Vistron",,,,
