source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,88,County,unknown,1,10,West Sparta,,,,CRS
District-Consolidation-Data_100-116.pdf,88,County,unknown,2,1,North Danville,,1 Sept. 1944,1,North Danville
District-Consolidation-Data_100-116.pdf,88,County,unknown,3,9,Danville (Steben Co),,,,CRS
District-Consolidation-Data_100-116.pdf,88,County,unknown,4,1,No Danville,,"effective November 15, 1944",1,North Danville
District-Consolidation-Data_100-116.pdf,88,County,unknown,5,10,Danville - Steben Co,,,,CRS
District-Consolidation-Data_100-116.pdf,88,County,unknown,6,1,North Danville,,"effective November 15, 1944",1,North Danville
District-Consolidation-Data_100-116.pdf,88,County,unknown,7,3+5,Leicester,,,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,8,6,Leicester + Perry,,"effective August 15, 1945",1,CRS
District-Consolidation-Data_100-116.pdf,88,County,unknown,9,8,Leicester + Geneseo,,,,York
District-Consolidation-Data_100-116.pdf,88,County,unknown,10,10,Leicester + Perry,,,,CRS
District-Consolidation-Data_100-116.pdf,88,County,unknown,11,9,Ossin,,"effective October 1, 1945",1,North Danville
District-Consolidation-Data_100-116.pdf,88,County,unknown,12,1,North Danville,,,,CRS
District-Consolidation-Data_100-116.pdf,88,County,unknown,13,9,Sparta + Springwater,,"effective November 30, 1945",1,North Danville
District-Consolidation-Data_100-116.pdf,88,County,unknown,14,1,North Danville,,,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,15,,CRS,,,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,16,,4.5 dist,5 Geneseo,"Laid out Apr 23, 1947",1,Geneseo
District-Consolidation-Data_100-116.pdf,88,County,unknown,17,,C.S dist,4 Groneland,"Meeting held May 19, 1947",,
District-Consolidation-Data_100-116.pdf,88,County,unknown,18,,,"1,4,6,7,8,9,10 Geneseo",,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,19,,,"1,2,3,5,6,8 Groneland",,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,20,,CRS,,,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,21,,4.5 dist,5 Caledonia,"Laid out June 7, 1950",1,Caledonia (dist)
District-Consolidation-Data_100-116.pdf,88,County,unknown,22,,C.S dist,3 Wheatland + Caledonia (cons),"Meeting held June 23, 1950",,Wheatland + Riga (cons)
District-Consolidation-Data_100-116.pdf,88,County,unknown,23,,,"3,6,7 Caledonia",,,Wheatland + Riga (cons)
District-Consolidation-Data_100-116.pdf,88,County,unknown,24,,,1 Caledonia + Pendleton (cons),,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,25,,,"6,7 Wheatland (cons)",,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,26,,,2 Wheatland + Le Roy (cons),,,
District-Consolidation-Data_100-116.pdf,88,County,unknown,27,,,9 Wheatland + Riga + Le Roy,,,
