source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,1,5,Windsor,13 Nov. 1941,1 July 1942,1 Windsor,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,2,15,Windsor,20 May 1942,20 Aug. 1942,1 Windsor,C.R.S
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,3,13,Richwood,21 May 1942,21 Aug. 1942,1 Windsor,C.R.S.
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,4,24,Windsor,24 March 1942,1 July 1942,1 Union,C.R.S.
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,5,1,Union,,,1 Windsor,C.R.S.
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,6,7,Windsor & Sanford,,1 Nov. 1943,1 Triangle,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,7,10,Windsor & Richford,2 Aug. 1943,13 Oct. 1943,1 Triangle,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,8,11,Triangle,7 July 1943,11 Oct. 1943,1 Triangle,CRS.
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,9,1,Rifle,,,1 Triangle,CRS.
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,10,1,Triangle,,,1 Triangle,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,11,3,Rifle,,,1 Triangle,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,12,6,Triangle,,,1 Triangle,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,13,1,Chenango,,,1 Triangle,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,14,1,Triangle,,,1 Triangle,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,15,8,Union (Broome County),,"Effective October 1, 1945",1 Colesville,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,16,16,"Union, Broome Co",,"Effective August 22, 1947","1 Union, Broome Co",CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,17,12,Binghamton,,"Effective July 5, 1947",2 Union,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,18,,D. Wiegand 7 Binghamton,3 May 1950,140 to take effect 3 Aug 1950,7 Binghamton,CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,19,,CRS,,"Laid out June 5, 1950","1 Dickinson, 1 Kenton, 1 Chenango, 1 Kirkwood",CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,20,,N.S. dist,1 Dickinson & Kenton,"Meeting held June 26, 1950",,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,21,,C.S. dist,3 Dickinson,,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,22,,,2 Kenton,,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,23,,,7 Kenton & Kirkwood,,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,24,,,10 Chenango & Kenton,,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,25,,,11 Chenango & Dickinson,,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,26,,,7 Kirkwood & Kenton,,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,27,,,8 Kirkwood & Dickinson,,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,28,,CRS,,"Laid out June 5, 1950","1 Conklin, Binghamton, Kirkwood",CRS
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,29,,N.S. dist,4 Conklin & Binghamton,"Meeting held June 28, 1950",,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,30,,C.S. dist,"1,3,5 Conklin",,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,31,,,"6,7,8 Conklin & Binghamton",,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,32,,,"1,3,4,5,7 Binghamton",,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,33,,,"2,6 Binghamton & Vestal",,,
District-Consolidation-Data_100-116.pdf,5,Broome,central_rural_schools,34,,,"1,2 Kirkwood",,,
