source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,80,Jefferson,central_rural_schools,1,"CRS
U.F.S. Dist
C.S. Dist","5 Alexandria
2,3,7,9,11,12,13,16,17,18,19,21
Alexandria",Said out meeting,"April 30, 1945
June 1, 1945",,"CRS
2 Alexandria"
District-Consolidation-Data_100-116.pdf,80,Jefferson,central_rural_schools,2,"✓ 6
1","Polman, Hornein & with
Hornein & Ellsberg","May 18, 1950
with U.T.S","State effective Aug 8, 1950
Adams (effete) April 2 1953",2,"7 Polman & Hornein
3 Adams etc"
