source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,1,16,Norwich & Guilford,9 July 1913,"16-24,450 12- 8-26,050 12- 12-13",8 Guilford,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,2,8,Guilford,,,,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,3,6,Norwich & New Berlin,25 April 1914,"6-31,710 12- 7-12,500 Cont 13-14",6 Norwich,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,4,7,New Berlin,,,,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,5,7,Columbus & New Berlin,31 August 1914,"7-39,213 12- 16-13,284 12- 13-14 12-13",7 Columbus,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,6,16,New Berlin,,,,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,7,5+8,Norwich,8 August 1913,"5-36,825 12- 8-25,900 12- 13-14",5 Norwich,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,8,7+8,North Norwich,10 March 1914,"7-19,900 Cont 8-93,027 12- 13-14",2 North Norwich,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,9,"1,6+11",Otselic,29 July 1914,"1-10,275 12- 6-20,561 12- 13-14",1 Otselic,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,10,5+8,Oxford & Greene,3 February 1914,"5-34,631 12- 9-46,060 12- 13-14",16 Greene,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,11,16,Greene,,,,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,12,6+14,Sherburne,26 January 1914,"16-71,341 12- Concd. dissolved",6 Sherburne,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,13,14+15,Sherburne,26 January 1914,"2 new sch. dists. formed fr. Nov. 12 Ag.1,1918 to be known as no.12 & no.18",12 Sherburne,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,14,6,McDonough & Pharsalia,7 October 1916,"6-9,800 12- 4-39,000 12- 16-17",4 Pharsalia,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,15,4,Pharsalia,,,,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,16,14+20,Greene,8 September 1915,"14-41,525 12- 20-24,050 12- 15-16",14 Greene,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,17,7+12,Greene,28 May 1915,"7-30,684 12- 12-12,975 12- to take effect 1 Ag.1915",7 Greene,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,18,3+7,North Norwich,24 August 1917,"3-137,934 2ha 7-9360 Cont (New papers 3 Ag.1918)",3 North Norwich,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,19,9+10,Norwich,1 February 1919,"9-47,618 1/2 1/2 cont 10-30,150 Cont 18-19",9 Norwich,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,20,3+5,North Norwich,15 August 1919,"3-See above 5-59,629 12- 18-19",3 North Norwich,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,21,"6,7,12+18",Sherburne,21 August 1919,"6-52,200 12- 7-577,496 11 1/2 Acad 18-68,169 Cont 9-VC.950 Cont 4-39,000 12- 6-15,000 Cont",7 Sherburne,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,22,4+6,Pharsalia,14 October 1919,"2-183,051 4 1/2 Acad 17-20",4 Pharsalia,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,23,2+9,Smyrna,11 September 1919,"9-16,230 Cont",2 Smyrna,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,24,9,Lincklaen & Pitcher,10 September 1920,"9-13,216 Cont 6-98,600 2 1/2",6 Pitcher,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,25,6,Pitcher,,,,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,26,4,North Norwich & 6 No. Norwich,12 August 1921,"4-82,54 278.57 185.55 11-42,46 112.43 95.25 31-75.96 277.24 167.10 4-17.66 64.26 38.73 10-86.32 315.06 189.40 6-20.12 73.44 44.27",6 North Norwich,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,27,4,Norwich,,,11 Norwich,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,28,Part of 6,Columbus & 21 Brookfield,6 September 1921,"10-46,950 12- 11-18,380 12- 21-22","21 Brookfield, Mad. Co.",
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,29,,,,,4 Columbus,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,30,,,,,10,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,31,,,,,16,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,32,10+11,Plymouth,1 August 1922,"1-143,046 3 1/2 Acad 2-19,650 Cont",10 Plymouth,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,33,1+2,Smithville,21 April 1923,"2-103,900 2ha to take effect 1 Ag.1923",1 Smithville,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,34,2+7,Plymouth,22 May 1924,"7-29,502 Cont",2 Plymouth,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,35,2+7,Pharsalia,10 July 1924,"2-46,509 12- 7-12,580 12-",2 Pharsalia,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,36,Part of 13,New Berlin,2 August 1926,"5-71,15- 256.13 13-103.85- 373.87",5 New Berlin,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,37,1+8,Pharsalia,22 July 1927,"1-39,650 12- 8-22,970 12- Died - new sch.",1 Pharsalia,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,38,Part of 3,Pharsalia & 1 Pharsalia,22 July 1927,1-142.39 520.75- 5-32.61 119.25-,1 Pharsalia,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,39,,,,,5 Preston,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,40,2+3,Plymouth,23 July 1928,3-21900 - cont,2 Plymouth,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,41,5+8,Lincklaen,31 July 1928,5-8250 - cont 8-19684 - 1,8 Lincklaen,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,42,14+15,Guilford,1 September 1928,"14-236,265 Acad 15-32,150 Cont",14 Guilford,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,43,3,McDonough & Pharsalia,6 September 1929,"3-22,955 cont. to take effect 1 Ag.1928",4 Pharsalia,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,44,4,Pharsalia,,,,
District-Consolidation-Data_100-116.pdf,25,Chenango,consolidated_districts,45,6+7,McDonough,28 August 1929,"6-30,996 - cont 7-104,834 - acad.",7 McDonough,
