source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,1,"2,7,13",Cuyler,3 December 1914,"2- 16,325 16,650",1 Cuyler,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,2,"3,4,5",Cuyler,6 December 1915,"13- 8,075 9,150",5 Cuyler,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,3,"2,5,8,9",Scott,22 April 1915,"3- 12,000 14-15",2 Scott *,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,4,3,Scott & Homer,,"5- 41,650 8- 18,575",2 Scott,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,5,2,Scott,18 August 1916,"5- 39,250 9- 28,100",,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,6,"1,3,5,6,7,8",Freetown,27 April 1917,Appealed & Sustained (Dist. Supt. 27 Dec. 1918),1 Freetown,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,7,"7,10",Virgil,23 May 1919,"7- 8,805",10 Virgil,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,8,"3,6",Virgil,20 September 1923,"10- 15,090",3 Virgil,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,9,"3,8",Lapeer,7 September 1926,"3- 39,107",3 Lapeer,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,10,"8,9",Taylor,30 July 1927,"6- 22,475",8 Taylor,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,11,Part of 4,Cuyler & 1 Cuyler,30 July 1927,"3- 19,859",1 Cuyler,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,12,Part of 10,Truxton & 2 Truxton,11 November 1926,"8- 18,740",2 Truxton,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,13,"4,5",Solon,3 August 1929,"9- 6,225",5 Solon,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,14,"1,4,4",Truxton,24 October 1929,1- 82.36 310.50,4 Truxton,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,15,"2,3,13,14",Virgil,Laid out 21 April 1930,12- 117.64 443.50,"2 Virgil, Harford, Lapeer, Cortlandville",
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,16,"5,12,16",Virgil + Harford,Meeting Held 5 May 1930,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,17,9,Virgil + Cortlandville,Designation of district as 22 May 1930,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,18,10,"Virgil, Harford, Lapeer",,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,19,"7,8,9",Marathon,,,"1 Freetown, Lapeer, Harford, Marathon",
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,20,2,"Lapeer, Marathon",,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,21,4,Marathon + Millet,,,"Virgil, Millet, Cincinnatus, Cortland Co and",
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,22,5,Marathon + Lapeer,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,23,6,Cincinnatus,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,24,"1,3,4,8",Freetown + Millet,Laid out 28 June 1930,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,25,"1,2,6",Freetown,Meeting Held 21 July 1930,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,26,7,"Lapeer, Freetown","Designation of dist. 29 July 1930 as Lisle, Broome Co.",,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,27,4,Marathon + Virgil,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,28,5,Lapeer + Harford,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,29,7,Virgil + Lapeer,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,30,8,Virgil,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,31,6,Truxton,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,32,"1,2,3,8,11",Truxton,Laid out 20 Feb. 1931. Meeting,,"6 Truxton, Solon, Pittle, Cuyler + Homer",
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,33,4,Solon,Held 11 Mar. 1931. Designation,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,34,5,Pittle,of dist. 8 Apr. 1931,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,35,7,Cuyler,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,36,"4,15",Cuyler + Truxton,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,37,"8,12",Homer + Pittle,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,38,11,Pittle + Homer,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,39,"1,4,6",Cincinnatus,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,40,"1,2,3,14",Pitches (Chen. co.),- 1 Pitches - Cincinnatus,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,41,9,Pharsalia,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,42,1,Millet,"- 2 "" . Pitches",,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,43,"1,2,3,6",Taylor,Leman,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,44,7,"Cuyler, Strickland (Chen. co.)",,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,45,2,Pharsalia & Pitches,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,46,2,Millet + Cincinnatus,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,47,6,Triangle (Broome co.),,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,48,3,Berman (Chen. co.) + Cincinnatus (Cort. co.),,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,49,5,Cincinnatus + Millet,,,,
District-Consolidation-Data_100-116.pdf,38,Cortland,consolidated_districts,50,7,Taylor (Cort. co.) + Pitches (Chen. co.),,,,
