source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,1,C.R.S. 1+5,Cato & Ira,Laid out 25 May 1938,Meeting held 16 June 1938,Designation of dist. 16 July 1938,"C.R.S. 1 Cato, Ira, Conquest, Victory and Sterling, Cayuga Co., Lysander, Onondaga Co., Butler, Wayne Co., & Hannibal, Oswego Co."
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,2,"2,6,7,9",Cato,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,3,4,Cato & Ira,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,4,8,Cato & Conquest,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,5,"2,3,4,6,6,7,8,10,11,12,13,9,14","Ira, Cato & Lysander",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,6,14,Conquest,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,7,"1,8,12",Conquest & Victory,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,8,2,Conquest & Victory & Ira,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,9,4,Conquest & Butler,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,10,10,Conquest & Cato,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,11,3,Victory,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,12,2,Victory & Ira,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,13,1,"Victory, Ira, Sterling, Hannibal",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,14,C.R.S. 6,Genoa & Venice,Laid out 19 Sept 1938,Meeting held 5 Oct. 1938,Designation of dist. 8 Oct. 1938,"C.R.S. 1 Genoa, Venice, Roche and Scipio, Cayuga Co., and Lansing Tompkins Co."
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,15,"6,9",Genoa,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,16,13,Genoa & Roche,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,17,"1,2,6,12",Genoa & Lansing,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,18,"6,7",Venice & Genoa,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,19,10,Venice & Scipio,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,20,C.R.S. 2,Brutus,Laid out 8 Sept 1938,Meeting held 21 Sept 1938,Designation of dist. 22 Sept 1938,"C.R.S. 1 Brutus, Cato, Conquest, Sennett and Throop, Cayuga Co."
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,21,"4,5,6",Brutus,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,22,"30,10",Cato,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,23,5,Conquest & Cato,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,24,"2,6",Sennett & Throop,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,25,7,Sennett & Brutus,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,26,6,"Throop, Sennett & Brutus",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,27,6,Venice,15 Sept 1938 to take effect 1 July 1939,,,C.R.S. 4 Scipio
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,28,4,Scipio,20 Sept 1938,2 Jan 1939,,C.R.S. 1 Menty
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,29,3,Conquest,20 October 1941,20 Jan. 1942,,C.R.S. 4 Scipio
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,30,1,Menty,1 July 1942,1 Oct. 1942,,9 Sempronius
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,31,8,Sainis,18 November 1942,18 Feb. 1943,,C.R.S. 4 Scipio
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,32,4,Scipio,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,33,7,Sempronius,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,34,9,Sempronius,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,35,3,Scipio,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,36,4,Scipio,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,37,2,Throop,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,38,1,Menty,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,39,1,Xinb,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,40,1,Moravia,"Effective July 16, 1945","Effective January 15, 1946",,C.R.S. 1 Menty
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,41,C.R.S. 1,Moravia,"Laid out June 8, 1945","Meeting held June 27, 1945",,C.R.S. 6 Moravia
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,42,U.F.S. dist,1 Moravia & Xinb,,,,"C.R.S. 1 Moravia, Xinb, Tiler, Sempronius, Venice & Hannibal in Cayuga & Tioga Co."
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,43,Co dist,"3,4,7 Moravia",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,44,,"3 Moravia, Tiler & Sempronius",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,45,,5 Moravia & Sempronius,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,46,,"6 Moravia, Xinb & Venice",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,47,,5 Xinb,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,48,,"2 Xinb, Hannibal",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,49,,"2,6,8,9,10,12 Xinb",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,50,,5 Tiler & Moravia,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,51,,7 Tiler & Sempronius,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,52,,"3,5 Sempronius",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,53,,"1 Sempronius, Xinb, Sennett",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,54,,"6 Xinb, Moravia",,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,55,,9 Tiler,,,,
District-Consolidation-Data_100-116.pdf,14,County,central_rural_schools,56,,8 Moravia,,,,
