source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,97,Monroe,central_rural_schools,1,CRS,"4 Yarme
1,2,5,7,9,10,11,13,14 Yarme
5,7,11 Hamlin
6,7,13 Greece
10 Clarkson","Laid out
Meeting held",,,"CRS
1 Yarme"
District-Consolidation-Data_100-116.pdf,97,Monroe,central_rural_schools,2,CRS,"1 Ogden
2,4,5,12,13 Ogden
3,8,13 Yarme (2nd move)
2 Gates
12 Greece (2nd move)","Laid out
Meeting held",,,"CRS
1 Ogden"
District-Consolidation-Data_100-116.pdf,97,Monroe,central_rural_schools,3,CRS,"4 Riga, Ogden + Sweden
1,2,5,8,10 Riga
7 Ogden
10 Ogden + Riga
6 Ogden + Chili
14 Ogden + Sweden
1,3 Chili
6 Chili, Riga + Ogden
7 Chili + Riga","Laid out May 23, 1950
Meeting held June 14, 1950",,,"CRS
1 Riga, Ogden
Chili + Sweden"
