source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,1,187,Greig,13 May 1914,1 31959 1½ 7 8690 1½ 13-14,1 Greig,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,2,"1,2,8+10",Lowville,23 November 1916,"24 Ja. 1919 1-150,165 2½ 2- 1,643,026 2½ 1 Ag.1917",2 Lowville,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,3,14+17,Denmark,19 August 1918,"1 303,071 1½ 17 90,476 1½ 10 29,591 1½ 17-18",1 Denmark,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,4,10+19,Martinsburg,20 August 1918,"17 14,450 1½ 2 29610 1½",10 Martinsburg,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,5,2+7,High Market,23 September 1918,"7 21,380 1½ 8 15,669 1½ 10-17,115 1½",2 High Market,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,6,8+10,Pinckney,1 April 1919,to take effect 1 Ag.1919,8 Pinckney,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,7,2+3,Martinsburg,30 August 1918,"2 61,466 2½ 3 44,318 1½ 17-18",2 Martinsburg,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,8,1,Lyonsdale,27 June 1919,"1-53,795 2½ 15 234,535 2½ Appeal dismissed",15 Leyden,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,9,15,Leyden,27 June 1919,Appealed Consol. stands Appeal dismissed 23 Dec. 19,15 Leyden,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,10,"2,5+9",Turin,11 September 1919,Appealed,9 Turin,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,11,6,West Turin,11 September 1919,Appeal dismissed (No. 654),9 Turin,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,12,6+8,Osceola,1 September 1919,"6 68,448 1½ 8 52,155 1½",6 Osceola,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,13,"5,8+15",Leyden,1 July 1919,"5 29,890 1½ 8 22,240 1½ 15 See above",15 Leyden,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,14,2+11,Lawville,27 July 1920,2- See above 11-88743 1½ 19-20,2 Lowville,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,15,4+5,Greig,29 December 1920,"4 51620 9m 19-20 2½ 20-21 2½ (probably for consol. dist.) 5 23,650 1½",4 Greig,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,16,3+5,Montague,25 June 1924,"3 15,675 1½ 5 73,150 1½",3 Montague,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,17,"1,2,3,4,5+6",Lewis,C.R.S. Cent. Rural Sch. laid out 30 Ja.1926 Meeting held 17 Jl.1926 Design of dist. 16 Sept. 1926,"1-17,374 1½ 3-10,180 1½ 5-11,966 1½ 7-29,786 1½ 2-43,935 1½ 4-24,665 1½ 6-12,914 1½ 8-25,043 1½ 5-16,050 1½ 7-215,777 1½","1 Lewis Leyden, West Turin, High Market, Lewis, d Ava, Oneida Co. 9-38,140 1½ 10-56,901 2½",
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,18,5+7,West Turin,2 August 1926,"8 69,48 26,194 5 13,09 49,35 4 117,43 442,71",7 West Turin,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,19,Part of 4 Watson Greig + 8 Watson,Watson,11 October 1927,new extra,8 Watson,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,20,,,,,5,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,21,,,,,4 Greig,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,22,1+3,Greig,1 August 1928,4 20900 cont 2 2000,1 Greig,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,23,2+4,High Market,1 August 1928,1 Greig 98395 all not no pound 2 248330 3 136187 4 59450 5 61705 8 551140,2 High Market,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,24,8,"Martinsburg, Greig",Laid out 5 July 1929 Meeting held 22 July 1929 Design of dist. 31 July 1929,"No. 8 towns of Martinsburg, Greig and Turin from dept in upper","No. 8 towns of Martinsburg, Greig and Turin from dept in upper",
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,25,"1,3,4",Greig,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,26,"7,8",Turin,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,27,"3,6+7",West Turin,Laid out 18 July 1930 Meeting held 14 July 1930 Design of dist. 24 July 1930 in folder,"2 High Market, West Leyden, West Turin",,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,28,"1,2,3,6",High Market,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,29,7,High Market + West Turin,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,30,3,Leyden + West Turin,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,31,4,W. Turin + Leyden,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,32,8,W. Turin + High Market,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,33,2+5,High Market,26 September 1930 to take effect Jan. 1931,,2 High Market,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,34,7+8,Martinsburg,10 June 1931 to take effect 9th Sept 1931,,8 Martinsburg,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,35,5,"Leyden, West Turin, Lyonsdale",Laid out 31 May 1935 Meeting held 19 June 1935 Design of dist. 30 July 1935,,"5 Leyden, West Turin, Lyonsdale",
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,36,"1,4,10+14",Rutland,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,37,11,Leyden + West Turin,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,38,12,Leyden + Lyonsdale,,,,
District-Consolidation-Data_100-116.pdf,83,Lewis,consolidated_districts,39,,C.R.S.,,,,
