source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,1,6+9,Vill. Sloan,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,2,,Checktowaga,30 April 1914,9-12-13,9 Checktowaga,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,3,"1,2,6,7+10",East Hamburg,30 April 1914,1-12-13,6 East Hamburg,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,4,6+9,East Hamburg,15 March 1915,6-13-14,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,5,,Amherst,1 May 1917,,3 Amherst,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,6,2+3,Vill. Kenmore,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,7,,Tonawanda,1 August 1919,3-18-19,3 Tonawanda,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,8,1+4,Evans,27 September 1919,4-18-19,1 Evans,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,9,,Part of 1 Hamburg & Boston & 1 Hamburg,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,10,,4 Boston,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,11,,6 Eden,4 September 1920,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,12,3+11,Newstead,8 June 1921,1 Aug.,3 Newstead,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,13,,Collins,8 July 1921,,6 Collins,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,14,"1,2,4,6,7+8",Vill. Kenmore,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,15,"1,3+4",Tonawanda,30 April 1924,13-10-18,1 Tonawanda,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,16,13+18,Amherst,Meeting held Ap 2 1929,Central H.S. 1 Amherst,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,17,12+1,Aurora,23 January 1930,12-1,1 Aurora,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,18,"1,3,4,5,6+9",Holland,,,1 Holland,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,19,,Colden,,,Colden + Wales,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,20,2+7,Holland + Wales,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,21,6,Colden + Holland,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,22,6+1,Aurora,24 June 1932,22 Sept. 1932,1 Aurora,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,23,7+9,Colden,18 June 1935,18 Sept 1935,1 Holland,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,24,,Holland,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,25,5+1,Village Jamaica,7 June 1938,6 Sept 1938,1 Tonawanda,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,26,8,Holland,10 November 1938,30 June 1939,1 Holland,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,27,1,Holland,10 November 1938,30 June 1939,1 Holland,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,28,4,Eden,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,29,"1,2,3,8+9",Eden,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,30,5,Eden & Evans,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,31,6,Eden & Boston,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,32,7,Eden & North Collins,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,33,5,Evans & Eden,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,34,,CRS,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,35,,Concord & Sardinia,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,36,"2,3,4,5,6,7,8,9,11+14",Concord,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,37,10+12,Concord & Collins,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,38,3+10,Sardinia,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,39,1+2,"Ashford, Cattaraugus &",,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,40,13,"Ashford, Concord & Ellicott",,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,41,8,"Yorkshire, Sardinia & Ashford",,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,42,1,Sardinia,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,43,,Arcade (Wyoming Co.),23 Feb. 1943,1 July 1943,"1 Arcade, Wyoming Co.",
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,44,8,Sardinia,18 June 1943,20 Sept 1943,1 Arcade,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,45,,Arcade (Wyoming Co.),24 June 1943,25 Sept 1943,1 Holland,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,46,10,Holland,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,47,,Holland,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,48,1,"Orchard Park, Hamburg, Aurora",,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,49,"3,4,5",Orchard Park,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,50,2,Orchard Park & Elma,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,51,,Wetmore,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,52,,Elma,,,,
District-Consolidation-Data_100-116.pdf,51,Erie,consolidated_districts,53,3,Aurora & Elma,,,,
