source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,1,11,"Minerva, Essex Co",21 August 1915,to take effect 28 Ag.,5 Indian Lake,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,2,5,"Indian Lake, Ham.C.",,"1- 119,797 Acad. 15-16",1 Schroon,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,3,14 2,Schroon,29 April 1916,"2- 52,217 11C",1 Schroon,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,4,24 8,Westport,20 October 1917,New papers 20 Ja.19,2 Westport,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,5,14 10,Lewis,20 November 1917,"1- 20,306 11C",1 Lewis,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,6,15 6,Lewis,8 September 1917,New papers 23 Dec.1919,5 Lewis,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,7,24 4,Lewis,24 December 1917,"1- Acad 2,092,903",2 Lewis,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,8,14 10,Moriah,30 December 1918,10- 4475 11C,1 Moriah,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,9,13 14,Crown Point,16 September 1918,"13- 40,019 11C",13 Crown Point,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,10,8,Ticonderoga,,"14- 20,995 11C",With CR.S.3 Crown Pt.,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,11,16,Crown Point,16 September 1918,"8- 10,585 11C",16 Crown Point,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,12,"1,2,3 4",Crown Point,26 April 1919,16- 4445 11C,3 Crown Point,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,13,16 10,Lewis,20 January 1919,"1- Acad 532,076",4 Lewis,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,14,14 4,Elizabethtown,15 January 1919,"4- Contad 29,873",1 Elizabethtown,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,15,54 8,Lewis,30 December 1918,5- see above,5 Lewis,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,16,4 10,Chesterfield,27 August 1919,Consol. revoked 27 Oct. 1919,10 Chesterfield,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,17,24 9,Lewis,8 December 1919,"2- 40,637 11C",2 Lewis,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,18,6 12,Moriah,11 September 1919,"9- 40,725 11C",12 Moriah,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,19,,Part of 8 Essex and 5 Essex,2 November 1921,"6- 10,245 11C",5 Essex,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,20,,""" "" "" 6 """,,"12- 12,470 Contad","6 """,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,21,,""" "" "" 9 """,,Reg. 5- 1.68 4.20 6.20,"9 """,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,22,1 9,Minerva,30 July 1922,6- 58.90 14.77 219.47,1 Minerva,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,23,1 10,Minerva,25 July 1923,9- 2114.42 285.73 424.73,1 Minerva,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,24,2 5,Minerva,1 August 1924,"1- 166,729 21-22",2 Minerva,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,25,3,Essex,,"9- 27,264 11C",,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,26,10,Willsboro,8 September 1925,10- 8890 11C,10 Willsboro,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,27,"1,3,4 8",Schroon Cent. Rural Sch.,3 May 1926,"2- 48,780 21C",1 Schroon,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,28,"1,3,4 4",Newcomb Cent. Rural Sch.,23 June 1926,"5- 57,210 11C",2 Newcomb,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,29,6 10,Willsboro,12 August 1927,3 Query 23 198 11C,10 Willsboro,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,30,1 2,Keene,15 June 1928,"10 W. 42,746 11C",1 Keene,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,31,1 6,Keene,16 August 1928,"6- 17,633 cont.",1 Keene,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,32,1 5,Schroon,17 September 1928,"1- 655,740 Acad",1 Schroon,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,33,10 1,Schroon,1 August 1929,"2- 28,315 11C",1 Schroon,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,34,"1,3,4,5,7,8,9",Keene C.R.S.,15 April 1930,1- see above,"1 Keene, Jay",
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,35,"2,3,4,6",No. Elba,2 July 1930,"6- 43,005 11C",2 No. Elba,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,36,1 9,Schroon,15 May 1930,"5- 158,708 21C",1 Schroon,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,37,"1,2,3,5,6,8,9,11,12",Jay,,"1- 14, 46980","1 Jay, Keene, Chesterfield, Wilmington, Essex co Black Brook, Clinton co Frankfort",
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,38,7,"Jay, Keene, Wilmington",18 July 1930,Designation of district,"Chesterfield, Wilmington, Essex co Black Brook, Clinton co Frankfort",
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,39,,Black Brook,24 July 1930,,,
District-Consolidation-Data_100-116.pdf,56,Essex,consolidated_districts,40,,Black Brook + Frankfort,,,,
